Filing.Date	Trade.Date	Ticker	Company Name	Insider.Name	Title	Trade.Type	Price	Qty	Owned	ΔOwn	Value	totalValue	Filing.Time	DaysToFile
2024-06-20	2024-06-17	AVTE	Aerovate Therapeutics, Inc.	Ra Capital Management, L.P.	Dir, 10%	P - Purchase	1.67	928110	9,192,092	+11%	+$1,549,944	1549943.7	17:56:07	3
2024-06-20	2024-06-17	CTRN	Citi Trends Inc	Fund 1 Investments, LLC	10%	P - Purchase	21.75	74190	2,383,486	+3%	+$1,613,791	1613632.5	17:56:05	3
2024-06-20	2024-06-17	IRON	Disc Medicine, Inc.	Ashiya Mona	Dir	P - Purchase	36	83334	235,391	+55%	+$3,000,024	3000024	17:27:54	3
2024-06-20	2024-06-17	IRON	Disc Medicine, Inc.	Orbimed Advisors LLC	Dir	P - Purchase	36	83334	235,391	+55%	+$3,000,024	3000024	17:19:39	3
2024-06-20	2024-06-18	PYYX	Pyxus International, Inc.	Owl Creek Asset Management, L.P.	10%	P - Purchase	2.8	325374	3,054,205	+12%	+$911,047	911047.2	16:15:11	2
2024-06-20	2024-06-17	CLOV	Clover Health Investments, Corp. /de	Garipalli Vivek	Dir, 10%	P - Purchase	1.14	877567	877,567	New	+$1,000,426	1000426.38	16:03:32	3
2024-06-20	2024-06-17	XOM	Exxon Mobil Corp	Dreyfus Maria S.	Dir	P - Purchase	109.25	18310	35,757	+105%	+$2,000,386	2000367.5	09:38:43	3
2024-06-20	2024-06-18	BEN	Franklin Resources Inc	Johnson Charles B	10%	P - Purchase	22.29	1e+05	92,586,533	0%	+$2,229,000	2229000	07:43:19	2
2024-06-20	2024-06-17	BHVN	Biohaven Ltd.	Car Bruce	Chief Scientific Officer	P - Purchase	33.58	30000	32,383	>999%	+$1,007,490	1007400	07:30:00	3
2024-06-18	2024-06-14	PBF	Pbf Energy Inc.	Control Empresarial De Capitales S.A. De C.V.	Add'l Rep. Persons-see Ex.99-1, 10%	P - Purchase	44.1	638000	16,042,098	+4%	+$28,134,433	28135800	18:25:22	4
2024-06-18	2024-06-17	GLP	Global Partners LP	Global Gp LLC	General Partner	P - Purchase	46.82	15000	182,981	+9%	+$702,250	702300	17:33:20	1
2024-06-18	2024-06-17	SPMC	Sound Point Meridian Capital, Inc.	Desai Ujjaval	CEO	P - Purchase	20	50001	50,001	New	+$1,000,020	1000020	17:19:08	1
2024-06-18	2024-06-17	SPMC	Sound Point Meridian Capital, Inc.	Ketchum Stephen	COB	P - Purchase	20	50001	50,001	New	+$1,000,020	1000020	17:18:09	1
2024-06-18	2024-06-14	PRTH	Priority Technology Holdings, Inc.	Priore Thomas Charles	Pres, CEO, COB, 10%	P - Purchase	3.56	598187	46,819,476	+1%	+$2,129,546	2129545.72	17:08:54	4
2024-06-18	2024-06-14	TTSH	Tile Shop Holdings, Inc.	Fund 1 Investments, LLC	10%	P - Purchase	6.83	233700	7,835,645	+3%	+$1,595,655	1596171	17:06:25	4
2024-06-18	2024-06-14	MNKTQ	Mallinckrodt Plc	Goldentree Asset Management LP	10%	P - Purchase	52.75	275000	3,314,035	+9%	+$14,506,250	14506250	16:30:33	4
2024-06-18	2024-06-14	FBYD	Falcon'S Beyond Global, Inc.	Katmandu Ventures, LLC	10%	P - Purchase	3.62	1745906	1,759,542	>999%	+$6,316,862	6320179.72	16:30:05	4
2024-06-18	2024-06-14	ACRS	Aclaris Therapeutics, Inc.	Leonard Braden Michael	10%	P - Purchase	1.15	545000	22,904,268	+2%	+$628,206	626750	16:04:29	4
2024-06-18	2024-06-14	PEO	Adams Natural Resources Fund, Inc.	Saba Capital Management, L.P.	10%	P - Purchase	22.77	48873	2,604,860	+2%	+$1,112,884	1112838.21	14:43:38	4
2024-06-18	2024-06-14	CVBF	Cvb Financial Corp	Borba George A Jr	Dir	P - Purchase	15.99	38810	7,592,211	+1%	+$620,593	620571.9	14:00:37	4
2024-06-18	2024-06-14	NRDY	Nerdy Inc.	Cohn Charles K.	CEO, 10%	P - Purchase	1.93	347275	22,752,811	+2%	+$670,241	670240.75	09:28:54	4
2024-06-17	2024-06-13	OXY	Occidental Petroleum Corp /De/	Berkshire Hathaway Inc	10%	P - Purchase	59.7	2947611	255,366,421	+1%	+$175,976,799	175972376.7	20:22:11	4
2024-06-17	2024-06-13	MCFT	Mastercraft Boat Holdings, Inc.	Coliseum Capital Management, LLC	10%	P - Purchase	19.89	191181	6,402,727	+3%	+$3,803,255	3802590.09	20:08:42	4
2024-06-17	2024-06-13	MPAA	Motorcar Parts of America Inc	Bison Capital Partners Vi-A, L.P.	Dir, 10%	P - Purchase	5.83	150000	250,000	+150%	+$874,000	874500	15:44:16	4
2024-06-17	2024-06-13	MPAA	Motorcar Parts of America Inc	Bison Capital Partners Vi, L.P.	Dir, 10%	P - Purchase	5.83	150000	250,000	+150%	+$874,000	874500	15:40:33	4
2024-06-17	2024-06-13	MPAA	Motorcar Parts of America Inc	Trussler Douglas B	Dir, 10%	P - Purchase	5.83	150000	250,000	+150%	+$874,000	874500	15:34:58	4
2024-06-17	2024-06-13	NRDY	Nerdy Inc.	Cohn Charles K.	CEO, 10%	P - Purchase	1.88	347275	22,405,536	+2%	+$652,877	652877	09:06:56	4
2024-06-17	2024-06-13	GLSI	Greenwich Lifesciences, Inc.	Patel Snehal	CEO, CFO, 10%	P - Purchase	14.3	174825	5,525,602	+3%	+$2,499,998	2499997.5	06:10:09	4
2024-06-14	2024-06-12	LGF	Lions Gate Entertainment Corp /cn/	Liberty 77 Capital L.P.	10%	P - Purchase	8.1	698858	9,055,567	+8%	+$5,657,746	5660749.8	19:01:53	2
2024-06-14	2024-06-14	FOUR	Shift4 Payments, Inc.	Isaacman Jared	COB, CEO, 10%	P - Purchase	69.4	14486	666,117	+2%	+$1,005,310	1005328.4	18:15:58	0
