X	Filing Date	Trade Date	Ticker	Company Name	Insider Name	Title	Trade Type	Price	Qty	Owned	ΔOwn	Value	1d	1w	1m	6m
	2024-06-10 14:56:03	2024-06-10	SHEN	Shenandoah Telecommunications Co/va/	Volk James J	SVP Finance, CFO	P - Purchase	$16.36	+3,187	38,264	+9%	+$52,125				
	2024-06-10 14:07:38	2024-06-03	OVLY	Oak Valley Bancorp	Lafferty Allison	Dir	P - Purchase	$23.50	+100	5,850	+2%	+$2,350				
	2024-06-10 12:57:00	2024-06-07	CCFN	Muncy Columbia Financial Corp	Shannon Steven H	Dir	P - Purchase	$31.58	+1,583	22,160	+8%	+$49,983				
	2024-06-10 12:04:14	2024-06-06	UFCS	United Fire Group Inc	Woolstenhulme Micah G	SVP, Chief Risk Officer	P - Purchase	$21.25	+1,000	37,440	+3%	+$21,250				
	2024-06-10 12:04:05	2024-06-06	UFCS	United Fire Group Inc	Martin Eric J	CFO	P - Purchase	$21.22	+500	26,310	+2%	+$10,610				
M	2024-06-10 11:43:47	2024-06-06	BWFG	Bankwell Financial Group, Inc.	Dale Eric J	Dir	P - Purchase	$24.57	+523	72,829	+1%	+$12,850				
M	2024-06-10 11:41:54	2024-06-06	BWFG	Bankwell Financial Group, Inc.	Drexler Blake S	Dir	P - Purchase	$24.55	+21	256,381	0%	+$516				
M	2024-06-10 11:37:37	2024-06-06	BWFG	Bankwell Financial Group, Inc.	Dunne Jeffrey R	Dir	P - Purchase	$24.57	+306	6,593	+5%	+$7,517				
M	2024-06-10 11:36:40	2024-06-06	BWFG	Bankwell Financial Group, Inc.	Porto Carl M	Dir	P - Purchase	$24.57	+318	44,453	+1%	+$7,812				
M	2024-06-10 11:27:30	2024-06-06	BWFG	Bankwell Financial Group, Inc.	Seidman Lawrence B	Dir	P - Purchase	$24.57	+332	734,755	0%	+$8,156				
ADM	2024-06-10 10:48:14	2024-06-05	LNKB	Linkbancorp, Inc.	Lundblad Carl D	Pres	P - Purchase	$6.33	+12,671	79,307	+19%	+$80,159				
	2024-06-10 10:41:35	2024-06-07	RCG	Renn Fund, Inc.	Stahl Murray	Pres, CEO	P - Purchase	$1.65	+100	559,097	0%	+$165				
	2024-06-10 10:17:43	2024-06-07	AFB	Alliancebernstein National Municipal Income Fund	Saba Capital Management, L.P.	10%	P - Purchase	$10.82	+6,099	3,114,146	0%	+$65,991				
	2024-06-10 10:03:11	2024-06-07	ANIX	Anixa Biosciences Inc	Titterton Lewis H Jr	Dir	P - Purchase	$2.52	+10,738	848,775	+1%	+$27,060				
	2024-06-10 09:32:15	2024-06-07	CZNC	Citizens & Northern Corp	Pellegrino Frank G	Dir	P - Purchase	$17.15	+237	38,297	+1%	+$4,065				
